id,comment_text,TOXICITY@6,SEVERE_TOXICITY@2,IDENTITY_ATTACK,INSULT,PROFANITY,SEXUALLY_EXPLICIT,THREAT,FLIRTATION,TOXICITY@5,SEVERE_TOXICITY@1,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,INCOHERENT,INFLAMMATORY,LIKELY_TO_REJECT,OBSCENE,SPAM,UNSUBSTANTIAL
057894cf4738a5d8,You are a gay homo. I hope you choke on your penis and die. I am sending a big bleck guy to jizz in your face.,0.98,0.95,0.93,0.95,0.96,0.98,0.98,0.63,0.99,0.94,0.21,0.71,0.29,0.81,1.00,0.94,0.02,0.14
967a50ad6ec2b46c,"Your a twat, you just delete things that you dont have a clue about! Che Finlay Will orientate your ass!! He'l find you!!",0.98,0.92,0.43,0.93,0.96,0.96,0.86,0.53,0.96,0.85,0.70,0.76,0.51,0.53,0.99,0.98,0.04,0.08
f15fe88888e57091,"Oi Wankstain ==

Fuck off you ignorant cunt, yeah? Revert this you arsewipe, REVERT ME LOLOLOLOL

COCKSUCKER

OF COURSE I'M GOING TO ATTACK YOU ON HERE, AND COMMENT ON YOU RATHER THAN CONTENT, YOU PEDANTIC BASTARD

BAN ME YAY! LOLOLOLOL

I HATE YOU LOLOLOLOL

WHAT HAPPENED TO LAST WARNING? NOT SUCH A PEDANT AFTER ALL

==",0.98,0.96,0.80,0.97,0.98,0.91,0.95,0.49,0.97,0.92,0.57,0.67,0.24,0.45,1.00,0.99,0.03,0.02
81d3164c8d36c716,"Hell-bound fuckwit!

Hu,you are a fuckwit who belongs in one place - the Lake of Fire in Hell! It is because you are a nutcase and an untermenschen faggot! - ( )",0.97,0.92,0.88,0.97,0.97,0.65,0.62,0.40,0.98,0.92,0.48,0.79,0.54,0.63,1.00,0.98,0.04,0.13
8bd72d36b97fab46,"you people are cock suckers 

you people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckersyou people are cock suckers",0.95,0.89,0.52,0.88,0.94,0.96,0.35,0.58,0.99,0.91,0.36,0.76,0.77,0.53,1.00,0.96,0.16,0.31
97da1f499e159bc6,"you both 

are little faggots with no lives so maybe you both should meet up and suck each others cocks all night long and maybe just maybe you both will get married in massachutes.",0.95,0.89,0.86,0.92,0.96,0.98,0.51,0.66,0.97,0.91,0.17,0.76,0.37,0.81,1.00,0.98,0.00,0.06
2750cc9f61f31cbf,"sorry about the editing about max hohar but it was not me because of my freand But run at me bro, i hack you like harry potter cast spell on your mum, i'm high right now and very bored (, so go fuck your self you asian prick....... ;)",0.92,0.89,0.81,0.90,0.94,0.84,0.77,0.64,0.92,0.89,0.64,0.59,0.45,0.39,1.00,0.99,0.06,0.05
9c44e9ef91fcc1f4,"ur a coomie 

y do u block people u coomie and u suck like joey barton",0.90,0.86,0.44,0.76,0.80,0.84,0.50,0.73,0.96,0.85,0.40,0.76,0.81,0.53,0.99,0.94,0.10,0.49
b3e458f57077255b,hey bitch you want to get fucked up meet me at 7 11 big bad varrio cochella fuck the rest. you are a fucken nerd ill whop ur ass,0.99,0.97,0.79,0.98,0.99,0.98,0.77,0.72,1.00,0.94,0.07,0.28,0.46,0.38,1.00,0.99,0.18,0.03
639e199bde5df8be,"Faggot/Cocksucker  

Take your biased ass elsewhere, as we have no need for you here.",0.97,0.92,0.86,0.95,0.98,0.96,0.30,0.38,0.97,0.91,0.71,0.87,0.04,0.63,1.00,0.97,0.00,0.09
